epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7197,1.19215,3.23112,1.22021,0.96165,0.32458,0.44566,0.29861,1.23879,2.81986,1.11654,0.000458691,0.000458691,0.000458691
2,27.6677,1.15518,1.47237,1.20987,0.90146,0.28459,0.5856,0.39356,1.17585,2.94571,1.08622,0.000925768,0.000925768,0.000925768
3,39.0877,1.16137,1.25811,1.1935,0.92802,0.37192,0.72927,0.43672,1.35161,2.56954,1.16187,0.00138341,0.00138341,0.00138341
4,50.3573,1.13197,1.14433,1.1902,0.70357,0.56671,0.72214,0.47437,1.37258,2.0681,1.20534,0.00138656,0.00138656,0.00138656
5,62.6624,1.08642,1.06789,1.14659,0.87356,0.81059,0.84752,0.61718,1.08449,1.28176,1.11721,0.00137241,0.00137241,0.00137241
6,73.3116,1.04764,1.02486,1.13471,0.86982,0.83169,0.87538,0.60395,1.09771,1.05879,1.13255,0.00135826,0.00135826,0.00135826
7,84.0828,1.02934,0.96344,1.12034,0.82131,0.79915,0.83865,0.6123,1.01457,1.26974,1.15122,0.00134412,0.00134412,0.00134412
8,94.9431,1.01969,0.92864,1.11057,0.81262,0.80734,0.83256,0.54528,1.24806,1.08574,1.13969,0.00132997,0.00132997,0.00132997
9,106.45,1.02934,0.88622,1.10823,0.7885,0.79809,0.84993,0.58519,1.13605,1.02091,1.09779,0.00131582,0.00131582,0.00131582
10,117.631,1.00019,0.8585,1.09155,0.80919,0.81981,0.84578,0.61614,1.06855,1.12658,1.0713,0.00130168,0.00130168,0.00130168
11,129.393,0.99496,0.83704,1.08045,0.8402,0.89587,0.85479,0.55842,1.29052,1.1125,1.13747,0.00128753,0.00128753,0.00128753
12,141.062,0.98617,0.82695,1.09533,0.86488,0.78391,0.84044,0.58607,1.25653,1.07661,1.15624,0.00127338,0.00127338,0.00127338
13,152.119,0.95979,0.77887,1.08952,0.88799,0.75758,0.88785,0.63124,1.07323,0.92716,1.06145,0.00125923,0.00125923,0.00125923
14,161.981,0.96954,0.77179,1.09573,0.81322,0.73073,0.86723,0.62744,0.98459,1.04342,1.09665,0.00124509,0.00124509,0.00124509
15,173.742,0.9172,0.74804,1.05727,0.88383,0.72831,0.84436,0.61574,1.00973,0.95466,1.08467,0.00123094,0.00123094,0.00123094
16,185.486,0.93869,0.734,1.07534,0.85424,0.65172,0.77676,0.54004,1.14228,1.1766,1.16177,0.00121679,0.00121679,0.00121679
17,196.824,0.95617,0.7517,1.08245,0.83538,0.7579,0.7971,0.52035,1.42101,1.15184,1.26173,0.00120265,0.00120265,0.00120265
18,208.522,0.94352,0.71953,1.06884,0.85669,0.87471,0.85182,0.61691,1.12398,0.94532,1.12276,0.0011885,0.0011885,0.0011885
19,218.52,0.93368,0.70134,1.0667,0.88701,0.80384,0.85473,0.62444,1.05507,0.97038,1.10502,0.00117435,0.00117435,0.00117435
20,229.838,0.93495,0.69575,1.06517,0.81735,0.8728,0.83869,0.62905,0.95172,0.84535,1.0384,0.00116021,0.00116021,0.00116021
21,241.292,0.90944,0.68892,1.05446,0.83592,0.79132,0.83752,0.57074,1.15852,0.87824,1.11278,0.00114606,0.00114606,0.00114606
22,252.921,0.92185,0.68449,1.05942,0.78004,0.82148,0.86936,0.62662,1.03584,0.92675,1.0692,0.00113191,0.00113191,0.00113191
23,263.531,0.91053,0.6809,1.0523,0.81196,0.82267,0.8287,0.60665,1.03859,0.93426,1.10884,0.00111776,0.00111776,0.00111776
24,275.758,0.89889,0.65238,1.05122,0.86321,0.73532,0.80696,0.58584,1.0506,1.08107,1.0918,0.00110362,0.00110362,0.00110362
25,288.621,0.88217,0.65293,1.04787,0.79481,0.80151,0.81692,0.52444,1.4016,1.07474,1.24382,0.00108947,0.00108947,0.00108947
26,299.861,0.89115,0.65081,1.0469,0.80056,0.84491,0.84966,0.56099,1.25163,0.98407,1.15651,0.00107532,0.00107532,0.00107532
27,310.5,0.86766,0.65191,1.03586,0.80681,0.87236,0.8567,0.61438,1.08701,0.835,1.11135,0.00106118,0.00106118,0.00106118
28,323.484,0.84451,0.61234,1.02491,0.88704,0.81908,0.87556,0.62377,1.06263,0.77326,1.09274,0.00104703,0.00104703,0.00104703
29,335.571,0.8731,0.62486,1.03992,0.82095,0.80739,0.84322,0.64478,0.95253,0.9315,1.05754,0.00103288,0.00103288,0.00103288
30,345.948,0.84982,0.61346,1.02498,0.81239,0.85191,0.82947,0.62346,0.96935,0.85685,1.05166,0.00101873,0.00101873,0.00101873
31,356.443,0.85816,0.6159,1.02665,0.86034,0.84196,0.83326,0.61481,0.98337,0.77378,1.07132,0.00100459,0.00100459,0.00100459
32,367.494,0.86223,0.62245,1.03261,0.84057,0.83387,0.8428,0.6471,0.88676,0.84341,1.05471,0.00099044,0.00099044,0.00099044
33,379.103,0.83539,0.60035,1.0205,0.84315,0.75554,0.79376,0.58656,0.99649,0.91295,1.06113,0.000976293,0.000976293,0.000976293
34,389.956,0.81977,0.59405,1.01381,0.8461,0.8619,0.85716,0.59962,1.05116,0.78868,1.07794,0.000962146,0.000962146,0.000962146
35,401.22,0.81453,0.57983,1.01349,0.8607,0.81042,0.88379,0.62204,1.08862,0.83852,1.08087,0.000947999,0.000947999,0.000947999
36,411.953,0.84437,0.58903,1.02369,0.85694,0.82869,0.87056,0.61868,1.04085,0.7991,1.06496,0.000933851,0.000933851,0.000933851
37,423.352,0.80682,0.572,0.99961,0.83495,0.83259,0.88555,0.61967,1.08084,0.86281,1.11055,0.000919704,0.000919704,0.000919704
38,434.711,0.81853,0.5767,1.01247,0.8107,0.83789,0.84124,0.62798,0.98646,0.80884,1.09464,0.000905557,0.000905557,0.000905557
39,445.728,0.80986,0.56638,1.01546,0.83742,0.8763,0.87014,0.64661,0.98361,0.70332,1.07731,0.00089141,0.00089141,0.00089141
40,457.533,0.81682,0.55519,1.01666,0.85042,0.85326,0.84876,0.64553,0.91701,0.77348,1.0597,0.000877263,0.000877263,0.000877263
41,468.807,0.79664,0.56324,1.00965,0.83979,0.85711,0.85247,0.63863,0.96251,0.8377,1.07161,0.000863116,0.000863116,0.000863116
42,479.556,0.81325,0.54115,1.01728,0.84771,0.90066,0.90709,0.68335,0.87759,0.81234,1.0393,0.000848969,0.000848969,0.000848969
43,491.479,0.78652,0.53622,0.99661,0.80045,0.88345,0.86231,0.67083,0.89993,0.74747,1.06129,0.000834822,0.000834822,0.000834822
44,502.823,0.80581,0.54238,1.00742,0.8163,0.89201,0.85787,0.64967,0.95771,0.68267,1.05891,0.000820675,0.000820675,0.000820675
45,513.736,0.77485,0.53101,0.99581,0.79973,0.91084,0.87838,0.65697,0.92944,0.69767,1.05125,0.000806528,0.000806528,0.000806528
46,524.566,0.76008,0.51609,0.99577,0.80668,0.8709,0.85993,0.64672,0.90405,0.81647,1.04814,0.00079238,0.00079238,0.00079238
47,535.581,0.78297,0.52736,0.99954,0.8307,0.7915,0.82279,0.6124,0.97423,1.00758,1.07221,0.000778233,0.000778233,0.000778233
48,548.144,0.77156,0.52335,0.99313,0.82578,0.81845,0.82068,0.62881,0.88401,0.92238,1.05857,0.000764086,0.000764086,0.000764086
49,559.828,0.75254,0.51113,0.99029,0.80426,0.86663,0.88376,0.65115,0.96872,0.80736,1.07302,0.000749939,0.000749939,0.000749939
50,570.388,0.75646,0.51555,0.98933,0.84,0.85451,0.87043,0.67015,0.89195,0.63908,1.06247,0.000735792,0.000735792,0.000735792
51,582.306,0.76909,0.51967,0.98948,0.85669,0.90904,0.89314,0.67288,0.86334,0.68923,1.03813,0.000721645,0.000721645,0.000721645
52,593.547,0.76005,0.51303,0.98207,0.82189,0.91323,0.85529,0.6392,0.88598,0.70725,1.02032,0.000707498,0.000707498,0.000707498
53,603.538,0.73783,0.51194,0.97671,0.83587,0.86368,0.84004,0.64778,0.8691,0.7115,1.00808,0.000693351,0.000693351,0.000693351
