epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.402,1.28946,3.08943,1.28543,0.88684,0.33839,0.47322,0.25999,1.40371,2.89142,1.18275,0.000460968,0.000460968,0.000460968
2,31.7368,1.20823,1.44644,1.25831,0.93204,0.37826,0.79541,0.47371,1.3434,2.33558,1.19231,0.000928022,0.000928022,0.000928022
3,45.0542,1.18939,1.22098,1.23369,0.63132,0.57607,0.66121,0.44763,1.27456,1.94179,1.19657,0.00138564,0.00138564,0.00138564
4,57.8706,1.16607,1.10969,1.22902,0.88071,0.65042,0.79559,0.54035,1.20514,1.51755,1.13549,0.00138656,0.00138656,0.00138656
5,71.5077,1.11965,1.01856,1.18154,0.81076,0.72862,0.83373,0.53465,1.23033,1.30277,1.17056,0.00137241,0.00137241,0.00137241
6,84.6668,1.14138,1.01178,1.18605,0.88644,0.93092,0.95813,0.61659,1.15845,0.96193,1.15559,0.00135826,0.00135826,0.00135826
7,97.6046,1.11883,0.93418,1.17226,0.88616,0.85882,0.92593,0.62103,1.14726,1.04317,1.15342,0.00134412,0.00134412,0.00134412
8,111.204,1.08152,0.88366,1.14293,0.89338,0.87674,0.95125,0.66724,1.03138,1.02555,1.11635,0.00132997,0.00132997,0.00132997
9,124.066,1.07913,0.88339,1.17134,0.86486,0.87439,0.94101,0.62147,1.17371,0.97281,1.18981,0.00131582,0.00131582,0.00131582
10,138.242,1.04776,0.81897,1.13793,0.88378,0.83355,0.93265,0.64263,1.04125,0.88347,1.12409,0.00130168,0.00130168,0.00130168
11,152.381,1.07751,0.82711,1.16179,0.85072,0.92853,0.9588,0.64649,1.07485,0.81625,1.12194,0.00128753,0.00128753,0.00128753
12,164.808,1.04319,0.77401,1.12867,0.88455,0.90794,0.95274,0.61958,1.1936,0.82321,1.16916,0.00127338,0.00127338,0.00127338
13,177.449,1.02841,0.74782,1.12417,0.92235,0.89155,0.96169,0.64502,1.12781,0.81213,1.1589,0.00125923,0.00125923,0.00125923
14,191.216,1.01371,0.7407,1.11349,0.89725,0.88319,0.95382,0.66449,1.05815,0.80977,1.12652,0.00124509,0.00124509,0.00124509
15,204.998,1.01389,0.71415,1.12981,0.91364,0.8875,0.9385,0.6462,1.0883,0.79831,1.13497,0.00123094,0.00123094,0.00123094
16,217.599,0.99292,0.6871,1.10357,0.88955,0.81681,0.9485,0.65179,1.06509,0.86779,1.15593,0.00121679,0.00121679,0.00121679
17,229.736,0.99985,0.68151,1.10658,0.82809,0.8525,0.92559,0.62146,1.11047,0.84534,1.14759,0.00120265,0.00120265,0.00120265
18,243.66,0.98066,0.66252,1.09319,0.95162,0.86281,0.95633,0.62379,1.15657,0.7373,1.1592,0.0011885,0.0011885,0.0011885
19,257.785,0.97471,0.64656,1.09586,0.92847,0.83005,0.92495,0.65767,1.02148,0.82635,1.09932,0.00117435,0.00117435,0.00117435
20,271.113,0.96334,0.63915,1.09239,0.92046,0.91296,0.96095,0.6849,0.99609,0.70036,1.08533,0.00116021,0.00116021,0.00116021
21,283.185,0.97874,0.64069,1.096,0.93461,0.90609,0.96673,0.6861,0.998,0.66554,1.0672,0.00114606,0.00114606,0.00114606
22,296.609,0.98623,0.62819,1.10106,0.92292,0.92726,0.96863,0.69001,0.98557,0.67563,1.09014,0.00113191,0.00113191,0.00113191
23,311.259,0.93574,0.60459,1.07704,0.94917,0.93553,0.97698,0.68099,1.0402,0.62832,1.09837,0.00111776,0.00111776,0.00111776
24,323.976,0.94563,0.61698,1.08274,0.93788,0.90567,0.97402,0.69932,0.97778,0.62102,1.06731,0.00110362,0.00110362,0.00110362
25,336.436,0.94342,0.59386,1.07203,0.92575,0.83872,0.95265,0.69598,0.90554,0.70704,1.05496,0.00108947,0.00108947,0.00108947
26,350.114,0.95026,0.59949,1.0886,0.90896,0.91826,0.94067,0.68545,0.92283,0.66057,1.06866,0.00107532,0.00107532,0.00107532
27,363.669,0.93897,0.59464,1.06867,0.92976,0.94109,0.96263,0.70011,0.89046,0.60827,1.06287,0.00106118,0.00106118,0.00106118
28,375.829,0.93712,0.58571,1.06952,0.92269,0.95014,0.97206,0.68474,1.01326,0.62026,1.11859,0.00104703,0.00104703,0.00104703
29,387.737,0.92905,0.58691,1.07825,0.91857,0.92501,0.97235,0.69184,0.97656,0.63794,1.06946,0.00103288,0.00103288,0.00103288
30,400.708,0.90152,0.5637,1.0607,0.93513,0.91027,0.96918,0.72419,0.88567,0.58231,1.05297,0.00101873,0.00101873,0.00101873
31,415.383,0.90086,0.55648,1.06096,0.95582,0.92894,0.97343,0.69302,0.95718,0.6007,1.08151,0.00100459,0.00100459,0.00100459
