epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4834,1.29987,3.29798,1.35162,0.58158,0.36313,0.41981,0.27602,1.26776,3.14966,1.16005,0.000460968,0.000460968,0.000460968
2,44.5791,1.20311,1.38516,1.30997,0.84567,0.54038,0.79758,0.49794,1.27539,2.03991,1.18786,0.000928022,0.000928022,0.000928022
3,63.2322,1.20331,1.17575,1.29415,0.72832,0.43679,0.66273,0.42903,1.20468,2.24627,1.15924,0.00138564,0.00138564,0.00138564
4,80.6958,1.19752,1.06985,1.28501,0.62437,0.68412,0.63724,0.39871,1.29775,1.7961,1.22714,0.00138656,0.00138656,0.00138656
5,100.607,1.12524,1.00727,1.21581,0.91782,0.87493,0.93103,0.64852,1.09042,0.98478,1.13752,0.00137241,0.00137241,0.00137241
6,118.877,1.16867,0.99214,1.23414,0.92232,0.84031,0.90868,0.58794,1.21143,1.07483,1.19239,0.00135826,0.00135826,0.00135826
7,137.314,1.11364,0.92011,1.1984,0.79206,0.75103,0.83043,0.54838,1.11739,1.08845,1.15765,0.00134412,0.00134412,0.00134412
8,154.965,1.08511,0.8837,1.16977,0.84936,0.71683,0.84409,0.573,1.00385,1.30159,1.13512,0.00132997,0.00132997,0.00132997
9,173.754,1.07853,0.86535,1.19209,0.8694,0.8498,0.9054,0.57799,1.18777,1.0034,1.20749,0.00131582,0.00131582,0.00131582
10,193.919,1.05755,0.80477,1.16326,0.88922,0.87714,0.91099,0.62959,1.0151,0.82879,1.15544,0.00130168,0.00130168,0.00130168
11,214.007,1.07749,0.81255,1.18709,0.86163,0.80094,0.87691,0.57584,1.18319,0.92003,1.21816,0.00128753,0.00128753,0.00128753
12,230.725,1.0587,0.77206,1.16166,0.93297,0.82168,0.9255,0.63737,1.079,0.83693,1.15925,0.00127338,0.00127338,0.00127338
13,248.942,1.01343,0.72949,1.1423,0.8793,0.89127,0.92765,0.64003,1.07187,0.84085,1.13795,0.00125923,0.00125923,0.00125923
14,269.101,1.01934,0.732,1.13806,0.8789,0.87679,0.92167,0.64907,0.9788,0.80368,1.11702,0.00124509,0.00124509,0.00124509
15,288.154,1.02623,0.72154,1.1505,0.94285,0.82069,0.92555,0.64073,1.07688,0.87517,1.14403,0.00123094,0.00123094,0.00123094
16,306.415,0.99533,0.70299,1.11976,0.89068,0.84533,0.91677,0.66513,0.94947,0.82598,1.12654,0.00121679,0.00121679,0.00121679
17,323.605,1.00115,0.68599,1.12639,0.91803,0.86806,0.89525,0.61086,1.04674,0.80873,1.14882,0.00120265,0.00120265,0.00120265
18,343.442,0.98228,0.66913,1.11867,0.91839,0.90893,0.97395,0.65,1.1129,0.68729,1.1501,0.0011885,0.0011885,0.0011885
19,362.799,0.97883,0.65112,1.11542,0.94722,0.8888,0.97785,0.70211,0.9573,0.65275,1.10448,0.00117435,0.00117435,0.00117435
20,381.873,0.95748,0.64778,1.10758,0.94498,0.88152,0.9458,0.66334,1.04305,0.68622,1.13121,0.00116021,0.00116021,0.00116021
21,399.594,0.98102,0.64553,1.11901,0.90537,0.91989,0.95658,0.65016,1.1192,0.64876,1.13803,0.00114606,0.00114606,0.00114606
22,418.331,1.00143,0.63504,1.13416,0.9158,0.91486,0.93685,0.67301,0.94694,0.68331,1.08694,0.00113191,0.00113191,0.00113191
23,438.627,0.93708,0.60421,1.0882,0.87365,0.8083,0.92966,0.67076,0.9929,0.85409,1.14684,0.00111776,0.00111776,0.00111776
24,456.85,0.93904,0.61548,1.09199,0.94714,0.87868,0.94957,0.67972,0.99299,0.68333,1.12298,0.00110362,0.00110362,0.00110362
