epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52369,1.10562,2.2042,1.20923,0.83189,0.51361,0.83742,0.61164,1.02015,2.16101,1.05537,0.000470453,0.000470453,0.000470453
2,18.5049,1.06521,1.07342,1.16365,0.82208,0.78869,0.83412,0.6036,0.99707,1.64691,1.07763,0.000937413,0.000937413,0.000937413
3,27.3677,1.04418,0.96639,1.1496,0.76981,0.80653,0.8381,0.56714,1.13195,1.08813,1.16473,0.00139494,0.00139494,0.00139494
4,36.2038,1.02557,0.89746,1.14739,0.83019,0.79029,0.80521,0.61171,0.90243,1.02264,1.05219,0.00138656,0.00138656,0.00138656
5,45.0368,1.00635,0.81688,1.13063,0.86781,0.87653,0.86791,0.60921,1.17348,0.92824,1.15989,0.00137241,0.00137241,0.00137241
6,53.8528,0.97086,0.76714,1.11457,0.80935,0.84936,0.85428,0.62725,1.00749,0.94428,1.09846,0.00135826,0.00135826,0.00135826
7,62.6795,0.95744,0.73538,1.10068,0.78895,0.76035,0.81514,0.60135,0.93682,1.04267,1.08071,0.00134412,0.00134412,0.00134412
8,71.4429,0.93854,0.68973,1.09035,0.86154,0.85742,0.82863,0.6156,1.02965,0.79794,1.0873,0.00132997,0.00132997,0.00132997
9,80.2438,0.94067,0.67201,1.08624,0.83939,0.86399,0.82493,0.55313,1.06872,0.90821,1.13947,0.00131582,0.00131582,0.00131582
10,89.0481,0.92477,0.66517,1.07814,0.84843,0.84947,0.85706,0.54026,1.30007,0.81683,1.21616,0.00130168,0.00130168,0.00130168
11,97.834,0.9022,0.637,1.07219,0.85087,0.80033,0.82458,0.5757,1.06514,0.90784,1.11274,0.00128753,0.00128753,0.00128753
12,106.649,0.89196,0.62479,1.06965,0.87768,0.77602,0.8206,0.62328,0.88834,0.79216,1.08516,0.00127338,0.00127338,0.00127338
13,115.456,0.88412,0.61619,1.06164,0.86066,0.85522,0.86441,0.60906,1.08394,0.83658,1.11809,0.00125923,0.00125923,0.00125923
14,124.293,0.88632,0.62276,1.06999,0.87441,0.76906,0.78303,0.58736,0.94923,1.04777,1.09488,0.00124509,0.00124509,0.00124509
15,133.081,0.85463,0.5927,1.0481,0.84454,0.78651,0.80911,0.6012,0.93212,0.88136,1.09154,0.00123094,0.00123094,0.00123094
16,141.875,0.84879,0.57899,1.04611,0.89029,0.74411,0.76589,0.54731,0.98739,1.02701,1.11099,0.00121679,0.00121679,0.00121679
17,150.694,0.84018,0.57414,1.03856,0.89098,0.8603,0.84648,0.62379,0.95254,0.70825,1.11845,0.00120265,0.00120265,0.00120265
18,159.539,0.83664,0.55639,1.04201,0.82109,0.81517,0.81887,0.60175,0.9497,0.90204,1.11056,0.0011885,0.0011885,0.0011885
19,168.369,0.8395,0.55394,1.04094,0.87959,0.83357,0.86544,0.65273,0.89997,0.69409,1.05209,0.00117435,0.00117435,0.00117435
20,177.212,0.82822,0.54567,1.03298,0.82767,0.83098,0.80164,0.59642,0.93564,0.75739,1.09147,0.00116021,0.00116021,0.00116021
21,186.042,0.81039,0.53862,1.02754,0.86559,0.76781,0.81921,0.59442,1.03474,0.88314,1.12929,0.00114606,0.00114606,0.00114606
22,195.032,0.80856,0.5364,1.03378,0.87508,0.76255,0.81056,0.55709,1.20141,0.93483,1.17271,0.00113191,0.00113191,0.00113191
23,203.907,0.79627,0.52357,1.02265,0.85077,0.85159,0.83969,0.58518,1.01014,0.75916,1.09298,0.00111776,0.00111776,0.00111776
24,212.712,0.79307,0.51835,1.02613,0.843,0.85964,0.82638,0.62506,0.86868,0.80393,1.05823,0.00110362,0.00110362,0.00110362
25,221.572,0.79174,0.52477,1.02966,0.85834,0.85825,0.89211,0.63095,1.0309,0.68336,1.11822,0.00108947,0.00108947,0.00108947
26,230.425,0.7813,0.51589,1.01374,0.87465,0.77666,0.79625,0.60547,0.91494,0.89326,1.05445,0.00107532,0.00107532,0.00107532
27,239.292,0.76117,0.49623,1.00032,0.84482,0.86282,0.84082,0.60974,0.98953,0.71226,1.08853,0.00106118,0.00106118,0.00106118
28,248.09,0.76075,0.50214,1.01011,0.88165,0.83506,0.83369,0.65165,0.85372,0.66329,1.04997,0.00104703,0.00104703,0.00104703
29,256.905,0.76676,0.49555,1.00996,0.87994,0.83492,0.83699,0.59287,1.05283,0.8626,1.1236,0.00103288,0.00103288,0.00103288
30,265.786,0.76049,0.48391,1.00938,0.86466,0.79265,0.83543,0.59271,1.03286,0.88011,1.08089,0.00101873,0.00101873,0.00101873
31,274.64,0.74666,0.48862,1.0062,0.85194,0.8357,0.81814,0.6036,0.93515,0.80151,1.07725,0.00100459,0.00100459,0.00100459
32,283.46,0.7403,0.48211,0.99302,0.85612,0.76877,0.76671,0.54591,1.02924,1.20666,1.11408,0.00099044,0.00099044,0.00099044
33,292.309,0.73549,0.47752,1.00026,0.87687,0.78604,0.83047,0.64941,0.85909,0.89495,1.06737,0.000976293,0.000976293,0.000976293
34,301.13,0.73519,0.4779,1.00187,0.8662,0.77571,0.8183,0.5824,0.98324,0.90868,1.06835,0.000962146,0.000962146,0.000962146
35,309.907,0.7389,0.47664,0.9974,0.8575,0.77913,0.81645,0.5966,0.95454,1.00865,1.11135,0.000947999,0.000947999,0.000947999
36,318.727,0.7186,0.46316,0.98733,0.86517,0.81515,0.82516,0.63551,0.8747,0.91487,1.04441,0.000933851,0.000933851,0.000933851
37,327.522,0.71082,0.46239,0.98487,0.85008,0.83272,0.82256,0.58978,1.0298,0.93773,1.10097,0.000919704,0.000919704,0.000919704
38,336.38,0.70309,0.46721,0.98599,0.85842,0.81234,0.819,0.5988,0.96851,0.88113,1.08733,0.000905557,0.000905557,0.000905557
39,345.203,0.71458,0.45363,0.98148,0.8784,0.81424,0.84353,0.57719,1.10827,0.79638,1.13218,0.00089141,0.00089141,0.00089141
40,354.006,0.70859,0.46009,0.98146,0.86621,0.83285,0.82496,0.61782,0.92877,0.75914,1.07903,0.000877263,0.000877263,0.000877263
41,362.849,0.68956,0.44359,0.97896,0.87289,0.81132,0.82796,0.61952,0.88725,0.878,1.07343,0.000863116,0.000863116,0.000863116
42,371.688,0.68761,0.44497,0.97201,0.85609,0.82473,0.82447,0.56316,1.05899,0.90346,1.13891,0.000848969,0.000848969,0.000848969
43,380.479,0.69295,0.44733,0.97504,0.86662,0.86596,0.85211,0.62813,0.92718,0.69166,1.0525,0.000834822,0.000834822,0.000834822
44,389.331,0.68605,0.44655,0.97152,0.87335,0.8309,0.84715,0.61005,1.01825,0.74469,1.08891,0.000820675,0.000820675,0.000820675
45,398.111,0.6863,0.44286,0.97536,0.85463,0.87178,0.84774,0.59822,0.96355,0.75572,1.09108,0.000806528,0.000806528,0.000806528
46,406.932,0.68879,0.43869,0.97033,0.87397,0.85012,0.84561,0.61961,0.939,0.86893,1.0697,0.00079238,0.00079238,0.00079238
47,415.747,0.67205,0.43333,0.96244,0.85543,0.82652,0.81711,0.58945,0.99429,0.79078,1.13008,0.000778233,0.000778233,0.000778233
48,424.56,0.67833,0.43283,0.96931,0.86747,0.85028,0.86467,0.62049,0.97761,0.71977,1.07835,0.000764086,0.000764086,0.000764086
49,433.433,0.67812,0.43757,0.96538,0.87305,0.84135,0.85268,0.58767,1.01866,0.77494,1.08231,0.000749939,0.000749939,0.000749939
